SN,Village,Gender,R_2_HH,HH_Size,Age,Ethnicity,Decisions,P_Decisions,Education,Experience,Owning_Livestock,Livestock_No,Livestock_value,Fodder_Exp,Veterinary_Exp,Enclosure_Exp,Hired_Lbr_Exp,Revenue,Land_Own,Land_Size,Land_Use,Cattle,Sheep,Chicken,Pigs,Dairy_Cattle,Dairy_Cattle_No,Grazing_location,Transport2Grazing,Travel_Time,Aquire_Grazig,Grazing_land_source,Grazing_land_purchase_cost,Rent_previous_season,Rented_years,LeasedGrazingExternal,Land_rent_income,Estmtd_rental_income,LandMoistureLevel,Land_fertility,GrazingWaterSource,irrigation_sources,Vet_distance_avg,Distance_to_village,OwnRadio,OwnTelevision,OwnPhone,OwnTransport,Men_labour_days,Men_labour_hours_per_day,Men_labour_workers_avg,men_labour_wage_per_day,Women_labour_days,Women_labour_hours_per_day,Women_labour_workers_avg,Women_labour_wage_per_day,Men_family_labour_days,Men_family_labour_hours_per_day,Men_family_labour_workers,Women_family_labour_days,Women_family_labour_hours_per_da,Women_family_labour_workers,Child_labour_days,Child_labour_hours_per_day,Child_labour_workers_avg,Herd_size,Rope_Qty,Feeds_Qty,Herd_Size_Exp,Rope_Exp,Cattle_feeds_exp,concentratesQty,Dairy_drugs_Qty,Improved_Breed_No,Dairy_Concrete_Exp,Dairy_Drug_Exp,Improved_breed_Exp,Hired_Labour_Exp,Production_Tools_Exp,Technology_Adoption,Cowshed_Type,Breeding_Type,Vet_Treatment_Adoption,Cleaning_activities,Vaccination_Adoption,Feed_Technology,Improved_herd_mngmt_desire,Herd_Mngmnt_Type,Information_Access,Information_Source,Extension_Participation,Extension_Type,Attitude_towards_technology,Technology_Ease_of_Use,Dairy_Technologies_Usefullness,Technology_Perceived_Cost,Leading_Companies_Favour,Important_People_Favour,Contractor_Favour,Intention_To_Adopt,Information_seeking_frequency,Decision_making_ability,Gvt_Ext_Office,Contractor,Input_Suplier,Farmer_Orgnztn,NGO,Agri_Agent_Cmnction,Info_Received,Adherence_to_advice,Land_use_advice,Planting_advice,Seed_use_advice,Fertilizer_advice,Other_advice,Extension_Exp,Milk_per_day,Milk_Days,Sold_Milk,Milk_Price,Milk_Buyer,Quality_Determiner,Home_Milk,Manure_Obtained,Sold_Manure,Manure_Price,milkproductivity,Total_Milk,Food_Exp,Meals_Per_Day,Hungry_Season_Duration,Food_Insecurity_Status,ContractFarming,YearsInContractFarming,Input_access,Market_access,Credit_access,Extension_services,Contract_Type,Copy_of_Contract,Contract_Formulation,AcresUnderContractFarming,Milk_Sale_Price,Amount_Produced,Livestock_Keeping_Area,Quality_of_Milk,Date_of_Milking,Inputs_to_be_Used,Contractor_Compliance,Contractor_Non_Compliance,Respondent_Compliance,Farmer_Non_compliance,Negotiations,Mediation,Reconciliation,Arbitration,Participation_Criteria,Private_companies,International_organizations,Local_Government_Authority,Individuals,contractors,Financial_Institution,Institution_Roles,Continue_Contract_Farming,Pay_For_Contract_Farming,Willing_To_Pay_Amount,Farmers_group,Group_size,Group_Experience,Market_System,Milk_Sale,Off_Farm_Work,Off_Farm_Work_Days,Employed_By,Received_Payment,Reason_4_Pay,Duration_4_Pay,Payment,Cultivate_Crop,Crop_Land,Maize,Beans,Sun_Flower,Crop_Production_Costs,Maize_Harvest,Beans_Haverst,Sun_Flower_Harvest,Maize_Consumption,Beans_Consumption,Sun_Flower_Consumption,Maize_Commercial,Beans_Commercial,Sun_Flower_Commercial,Maize_Revenue,Beans_Revenue,Sun_Flower_Revenue,Business_Operation,Business_Duration,Business_Type,Busiess_Cost,Business_Revenue,Availability_Dry_Fodder,Availability_Green_Fodder,Availability_Concentrates,Availability_Grazing_Land,Availability_Hired_labour,Availability_Vet_Treatment,Availability_AI,Availability_Vaccination,Availability_Rental_Land,Availability_Purchase_Land,Availability_Production_Tools,Liquidity_Dry_Fodder,Liquidity_Green_Fodder,LIquidity_Concentrates,Liquidity_Grazing_Land,Liquidity_Hired_labour,Liquidity_Vet_Treatment,Liquidity_AI,Liquidity_Vaccination,Liquidity_Rental_Land,Liquidity_Purchase_Land,Liquidity_Production_Tools,Risk_Tolerance,New_Breed_Adoption,Breed_Type,veterinary,milk_produced,Total_Milk_w,edu,lnage,lnexperience,Veterinary_Exp_w,Cattle_feeds_exp_w,lncatfeed_exp,lnVeterinary_Exp,extension1,extension,Distance_to_Town,Dairy_Cattle_No_w,AI,Vet_services,both,Hiredlbr_new,Vaccination_Adoption_01,HH_Size_w,Dairy_Concrete_Exp_w,production_tools,hiredlbr,Gender_1,Gender_2,Education_1,Education_2,Education_3,Education_4,OwnTelevision_1,OwnTelevision_2,AI_1,AI_2,Risk_Tolerance_1,Risk_Tolerance_2,Risk_Tolerance_3,extension_1,extension_2,Farmers_group_1,Farmers_group_2,ContractFarming_1,ContractFarming_2,Liquidity_Vet_Treatment_1,Liquidity_Vet_Treatment_2,Liquidity_Vet_Treatment_3,Liquidity_Vaccination1,Liquidity_Vaccination2,lnqtyfeeds,lnqtyconcrete,Land_fertility_1,Land_fertility_2,Decision_making_ability_1,Decision_making_ability_2,Decision_making_ability_3,Off_Farm_Work_1,Off_Farm_Work_2,Business_Operation_1,Business_Operation_2,vet_services,Information_seeking_frequency1,Information_seeking_frequency2,Information_seeking_frequency3,Liquidity_Vet_Treatment1,Liquidity_Vet_Treatment2,Liquidity_Vet_Treatment3,both1,both2,both3,Feeds_Qty_01,lnfeed,lnfeed1,Fodder_Exp_01,lnfodder,vetexp,vetvisits,Adherence,ATT,ATU
11,arisi,Female,Head,3,70,Chagga,HH,Yes,Primary school,30,Yes,1,800000,782000,30000,,,1468000,Yes,.5,Animal keeping,Yes,0,0,0,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,About the same,More fertile,No,,,46,Yes,Yes,Yes,No,,,,,,,,,,,,30,3.5,1,,,,2,1,851,0,2500,360000,24,,2,30000,15000,0,0,3000,No,Traditional,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,No,,Yes,Veterinary doctors,Yes,Training programs,,,,,,,,,Less Frequent,Medium,No,Yes,No,No,No,Once per year,Dairy production,Sometimes,,,,,Yes,0,5,30,1835,800,Contractor,Buyer,,30,No,,1835,1835,1100000,Three meals,0,Moderate food insecure,Yes,.25,No,Yes,No,No,Verbal,No,No,,Yes,,,,,,Yes,,Yes,,0,0,Yes,0,Residence,Yes,,,,,,,Yes,No,,No,,,No,Contractors,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,Slightly constrained,Risk seeking,Agree,Improved Breed,1,0,1835,Primary education,4.2484951,3.4011974,30000,360000,12.793859,10.308952,Yes,Yes,44,3,Yes,Yes,both,0,Yes,3,30000,Yes,No,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,6.7464123,3.1780539,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,851,6.7464123,6.7464123,782000,13.56961,30000,3,Agree,3212.4692,3338.1504
12,arisi,Female,Head,5,72,Chagga,HH,Yes,Primary school,35,Yes,1,700000,150000,20000,,600000,1088000,Yes,1,Animal keeping,Yes,0,Yes,0,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,About the same,More fertile,No,,,42,Yes,Yes,Yes,No,30,4,1,1665,,,,,,,,15,1,1,,,,1,2,80,0,10000,60000,8,,0,0,15000,0,600000,20000,No,Traditional,Natural,Yes,Regular cleaning,No,Recomended,Yes,keep cattle health,No,,No,,Not a good idea,Substantial restructuring,Improve profitability,Yes,Yes,,,,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,2.5,30,240,1200,Neighbour,Seller,360,35,No,,600,600,1435000,Three meals,0,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,Somewhat constrained,Somewhat constrained,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,Risk averse,Disagree,Local Breed,1,0,600,Primary education,4.2766662,3.5553482,20000,60000,11.0021,9.9034872,No,No,42,1,No,No,either,600000,No,5,0,Yes,Yes,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,4.3820267,2.0794415,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,80,4.3820267,4.3820267,150000,11.91839,20000,2,Neutral,1596.8918,677.30554
13,arisi,Female,Spouse,3,48,Chagga,HH & HM,Yes,Primary school,24,Yes,2,800000,60000,3000,,,,Yes,.5,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,,,,About the same,More fertile,No,,,47,Yes,No,Yes,No,,,,,,,,,30,2,1,30,2,1,,,,2,2,60,0,5000,0,2,,0,4500,12000,0,,No,No,Traditional,Natural,No,Regular cleaning,No,Traditional,No,,Yes,Family,No,,Acceptable,,,Yes,Yes,Yes,Yes,Not likely to adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,0,,,,,,,60,No,,0,0,1200000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Contractors,No,,,,,,,Yes,.1,Yes,Yes,No,30000,.5,.6,,Yes,Yes,No,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Severely constrained,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,Severely constrained,Severely constrained,Severely constrained,Risk neutral,Disagree,Local Breed,1,0,0,Primary education,3.871201,3.1780539,30000,0,,10.308952,No,No,44,1,No,No,non,0,No,3,4500,No,No,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,4.0943446,.69314718,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,60,4.0943446,4.0943446,75000,11.225244,3000,1,Disagree,922.39349,304.62314
14,arisi,Male,Head,3,85,Chagga,HH & HM,Yes,Post secondary education,39,Yes,2,1600000,600000,50000,,,,Yes,1,Animal keeping,Yes,Yes,No,No,Yes,2,Within the village,By foot,0,Owned it already,,,,,,,,About the same,About the same,No,,,47,Yes,No,Yes,No,,,,,,,,,30,4,1,30,4,1,,,,2,2,1680,0,10000,720000,22,,1,53000,45000,0,,17000,No,Traditional,Artificial insemination,Yes,Regular cleaning,Yes,Improved,No,,Yes,,No,,,,Improve profitability,Yes,Yes,,,Not likely to adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,4,30,,,,,1440,120,No,,720,1440,1100000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,0,0,0,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Somewhat constrained,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk neutral,Agree,Improved Breed,1,0,1440,Primary education,4.4426513,3.6635616,50000,555000,13.226724,10.819778,No,No,44,2,Yes,Yes,both,0,Yes,3,53000,Yes,No,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,7.426549,3.0910425,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,400,5.9914646,5.9914646,600000,13.304685,25000,3,Agree,2989.2581,1833.35
15,arisi,Female,Spouse,9,52,Chagga,HH & HM,Yes,Primary school,5,Yes,1,400000,90000,5000,,,600000,Yes,.5,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,No,,,48,Yes,No,Yes,No,,,,,,,,,30,3,1,30,3,1,,,,1,2,120,0,10000,0,4,,0,24000,3000,0,0,No,Yes,Traditional,Natural,No,Regular cleaning,No,Improved,,,No,,No,,Wise,Substantial restructuring,Advantageous,Yes,Yes,,,Not likely to adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,0,,,,,,,60,No,,0,0,2000000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,Yes,261,Local government,No,Volunteer,,,Yes,.5,Yes,Yes,No,300000,2,.5,,Yes,Yes,,No,No,,,,,No,0,0,,0,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,Slightly constrained,Slightly constrained,Somewhat constrained,Slightly constrained,Somewhat constrained,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk seeking,Strongly agree,Local Breed,1,0,0,Primary education,3.9512436,1.6094379,35000,0,,10.463103,No,No,39,1,No,No,non,0,No,8,24000,No,No,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,4.7874918,1.3862944,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,120,4.7874918,4.7874918,90000,11.407565,5000,1,Disagree,446.34116,259.6322
16,arisi,Female,Spouse,4,51,Chagga,HH & HM,Yes,Primary school,25,Yes,3,2000000,120000,30000,,600000,2180000,Yes,1.75,Animal keeping,Yes,No,Yes,No,Yes,2,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,No,,,48,Yes,Yes,Yes,No,30,4,1,,,,,,,,,30,4,1,,,,3,3,420,0,10000,180000,15,,3,36000,15000,0,600000,No,Yes,Traditional,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,No,,No,,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,Yes,Not likely to adopt,Less Frequent,Medium,No,Yes,No,No,No,Once per month,Dairy production,Always exactly,Yes,No,No,No,No,0,16,30,2100,800,Contractor,Buyer,300,180,No,,1200,2400,1700000,Three meals,0,Low food insecure,Yes,15,No,Yes,No,No,Verbal,,No,,Yes,,,,,,Yes,,Yes,,,,,,Residence,Yes,,,,,,Provision of extension services,Yes,Yes,1,No,,,Yes,Contractors,No,,,,,,,Yes,2,Yes,Yes,Yes,500000,14,8,2,Yes,Yes,,Yes,Yes,No,630000,560000,,No,,,,,Slightly constrained,No constraints,,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk seeking,Strongly agree,Improved Breed,1,0,2400,Primary education,3.9318256,3.2188759,30000,180000,12.100712,10.308952,Yes,Yes,44,2,Yes,Yes,both,600000,Yes,4,36000,No,Yes,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,6.0402546,2.7080503,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,500,6.2146082,6.2146082,120000,11.695247,15000,2,Neutral,2283.676,2260.9595
17,arisi,Male,Head,4,85,Chagga,HH & HM,Yes,Advanced secondary school,50,Yes,1,700000,100000,2000,,600000,700000,Yes,1.25,Animal keeping,Yes,Yes,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,About the same,No,,,49,Yes,No,Yes,No,30,4,1,1665,,,,,30,2,1,20,2,1,,,,1,1,120,,0,0,2,,1,8000,10000,0,600000,No,Yes,,Artificial insemination,No,Regular cleaning,No,Traditional,No,,No,,No,,Wise,Not much work,Improve profitability,Yes,Yes,,,Not likely to adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,0,,0,,,,0,60,No,,0,0,1700000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Somewhat constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk neutral,Strongly disagree,Local Breed,1,0,0,Primary education,4.4426513,3.9120231,50000,0,,10.819778,No,No,44,1,Yes,No,non,600000,No,4,8000,No,Yes,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,4.7874918,.69314718,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,20,2.9957323,2.9957323,0,,2000,1,Disagree,,
18,arisi,Female,Spouse,3,52,Chagga,HH & HM,Yes,Primary school,30,Yes,1,1000000,100000,100000,,,1664000,Yes,.25,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,,,,48,Yes,Yes,Yes,No,,,,,,,,,,,,30,4,1,,,,2,2,500,0,0,0,6,,1,20000,40000,0,0,10000,Yes,Traditional,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,No,,Yes,Family,No,,Acceptable,Not much work,Advantageous,Yes,Yes,,,Not likely to adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,3,30,720,1200,Neighbour,Buyer,360,60,No,,7020,7020,1200000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,Slightly constrained,Slightly constrained,Slightly constrained,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk averse,,Improved Breed,1,0,1020,Primary education,3.9512436,3.4011974,82000,0,,11.314474,No,No,44,3,Yes,Yes,both,0,Yes,3,20000,Yes,No,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,6.2146082,1.7917595,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,500,6.2146082,6.2146082,100000,11.512925,100000,6,Strongly agree,2179.3906,2535.5591
19,arisi,Female,Spouse,3,38,Chagga,HH & HM,Yes,Primary school,10,Yes,2,800000,300000,20000,,,288000,Yes,.25,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,About the same,No,,,49,Yes,No,Yes,No,,,,,,,,,30,4,1,30,4,1,,,,1,1,238,0,1000,102000,10,,1,144000,30000,0,,5000,No,Traditional,Natural,Yes,Regular cleaning,No,Traditional,No,,No,,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,,,Would adopt,Never,Low,No,No,No,No,No,,,,,,,,,,2,30,360,800,Contractor,Buyer,120,120,No,,2100,2100,1450000,Three meals,,Moderate food insecure,Yes,.5,No,Yes,No,No,Verbal,,No,,Yes,,,,,,Yes,,Yes,,,,,,Residence,Yes,,,,,,Provision of extension services,Yes,No,,No,,,Yes,Private buyers,No,,,,,,,Yes,.5,Yes,Yes,No,100000,1,.3,,Yes,Yes,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,Slightly constrained,Slightly constrained,Slightly constrained,Somewhat constrained,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,Slightly constrained,Risk seeking,Agree,Improved Breed,1,0,480,Primary education,3.6375861,2.3025851,82000,102000,11.532728,11.314474,No,No,44,1,No,No,either,0,No,3,144000,Yes,No,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,5.4722705,2.3025851,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,238,5.4722705,5.4722705,150000,11.91839,20000,2,Neutral,3430.9321,421.52051
20,arisi,Male,Head,5,47,Chagga,HH & HM,Yes,Primary school,15,Yes,1,700000,100000,30000,,,288000,Yes,.25,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,No,,,48,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,3,1,,,,1,2,240,0,10000,0,6,,0,0,20000,0,,No,No,Traditional,Natural,Yes,Regular cleaning,No,Traditional,No,,No,,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,Yes,,Would adopt,Never,Medium,No,No,No,No,No,,,,,,,,,,2,30,360,800,Contractor,Buyer,120,60,No,,1700,1700,1450000,Three meals,0,Moderate food insecure,Yes,1,No,Yes,No,No,Verbal,,No,,Yes,,,Yes,,,Yes,,Yes,,,,,,Residence,Yes,,,,,,Provision of extension services,Yes,No,,No,,,Yes,Private buyers,No,,,,,,,Yes,.5,Yes,Yes,No,120000,1,.3,,Yes,Yes,,,,,,,,No,0,0,0,0,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,Slightly constrained,Slightly constrained,Slightly constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,Risk seeking,Agree,Improved Breed,1,0,480,Primary education,3.8501475,2.7080503,30000,0,,10.308952,No,No,44,1,No,No,either,0,No,5,0,No,No,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,5.480639,1.7917595,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,240,5.480639,5.480639,100000,11.512925,30000,3,Agree,2071.54,639.6933
21,arisi,Female,Head,1,70,Chagga,HH,Yes,Advanced secondary school,40,Yes,1,700000,110000,25000,,,144000,Yes,.25,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,About the same,No,,,49,Yes,No,Yes,No,,,,,,,,,,,,30,3,1,,,,1,1,480,0,0,205714,24,,0,144000,10000,0,,10000,No,Traditional,Natural,No,Regular cleaning,No,Traditional,No,,No,,No,,Acceptable,Substantial restructuring,Advantageous,Yes,Yes,,,Would adopt,Never,Medium,No,No,No,No,No,,,,,,,,,,1,30,120,1200,Neighbour,Buyer,120,60,No,,240,240,400000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,Somewhat constrained,Slightly constrained,No constraints,No constraints,Slightly constrained,Somewhat constrained,Slightly constrained,Slightly constrained,Somewhat constrained,Severely constrained,Slightly constrained,Risk averse,Strongly disagree,Local Breed,1,0,240,Primary education,4.2484951,3.6888795,25000,205714,12.234242,10.126631,No,No,43,1,No,No,non,0,No,1,144000,Yes,No,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,6.1737862,3.1780539,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,480,6.1737862,6.1737862,60000,11.0021,25000,3,Agree,2363.623,702.80872
22,arisi,Male,Head,3,67,Chagga,HH & HM,Yes,Primary school,33,Yes,1,1000000,460000,70000,,,1296000,Yes,.75,Animal keeping,Yes,Yes,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,No,,,48,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,3,1,,,,1,,840,0,0,360000,12,,1,58000,30000,0,,7500,No,Traditional,Natural,Yes,Regular cleaning,Yes,Traditional,No,,No,,No,,Acceptable,Not much work,Advantageous,Yes,Yes,,,Not likely to adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,8,30,1080,1200,Neighbour,Buyer,360,120,No,,4440,4440,1000000,Three meals,0,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Market,No,,,,,,,Yes,.75,Yes,No,No,250000,8,,,Yes,,,Yes,,,360000,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,Slightly constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk seeking,Agree,Improved Breed,1,0,1440,Primary education,4.2046928,3.4965076,70000,360000,12.793859,11.156251,No,No,44,3,No,Yes,both,0,Yes,3,58000,Yes,No,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,6.7334018,2.4849067,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,840,6.7334018,6.7334018,460000,13.038981,70000,6,Strongly agree,3014.6272,3219.7034
23,arisi,Female,Spouse,2,48,Chagga,HH & HM,Yes,Post secondary education,12,Yes,1,1100000,20000,30000,,,216000,Yes,1.5,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,About the same,No,,,47,Yes,Yes,Yes,Yes,,,,,,,,,7,2,1,30,3,1,,,,1,2,360,0,3000,360000,12,,1,72000,13000,1,,10000,Yes,Traditional,Artificial insemination,No,Regular cleaning,No,Traditional,Yes,keep cattle health,Yes,Veterinary doctors,No,,Acceptable,Not much work,Improve profitability,Yes,,,Yes,Would adopt,Less Frequent,Medium,No,No,No,No,No,,,,,,,,,,1,30,180,1200,Neighbour,Buyer,180,34,No,,360,360,1200000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,Yes,12,Small business (shop),240000,600000,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,Somewhat constrained,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,Slightly constrained,Risk averse,Disagree,Local Breed,1,0,360,Primary education,3.871201,2.4849067,30000,360000,12.793859,10.308952,No,No,43,1,Yes,No,non,0,No,2,72000,Yes,No,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,5.8861041,2.4849067,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,360,5.8861041,5.8861041,20000,9.9034872,29999,3,Agree,1316.7678,216.4127
